add-none,1,100,200,85390,426,0
add-none,1,1000,2000,93256,46,0
add-none,1,10000,20000,330818,16,0
add-none,1,100000,200000,1615708,8,0
add-none,2,100,400,126068,315,0
add-none,2,1000,4000,148883,37,0
add-none,2,10000,40000,609193,15,-722
add-none,2,100000,400000,4407713,11,-8609
add-none,4,100,800,176611,220,0
add-none,4,1000,8000,220641,27,-117
add-none,4,10000,80000,1326744,16,1593
add-none,4,100000,800000,11476635,14,-26978
add-none,8,100,1600,233886,146,0
add-none,8,1000,16000,371777,23,-595
add-none,8,10000,160000,2448234,15,-2486
add-none,8,100000,1600000,21530223,13,-28946
add-none,12,100,2400,430778,179,0
add-none,12,1000,24000,529522,22,96
add-none,12,10000,240000,3474652,14,1214
add-none,12,100000,2400000,35349188,14,-16281
add-none,1,10,20,133053,6652,0
add-none,1,20,40,148864,3721,0
add-none,1,40,80,153477,1918,0
add-none,1,80,160,98751,617,0
add-none,1,100,200,143142,715,0
add-none,1,1000,2000,167315,83,0
add-none,1,10000,20000,290701,14,0
add-none,1,100000,200000,1684919,8,0
add-none,2,10,40,134259,3356,0
add-none,2,20,80,132071,1650,0
add-none,2,40,160,75559,472,0
add-none,2,80,320,134042,418,0
add-none,2,100,400,135882,339,0
add-none,2,1000,4000,177403,44,192
add-none,2,10000,40000,530805,13,-1466
add-none,2,100000,400000,4883818,12,-34221
add-none,4,10,80,168432,2105,0
add-none,4,20,160,175630,1097,0
add-none,4,40,320,176711,552,0
add-none,4,80,640,137896,215,0
add-none,4,100,800,133884,167,0
add-none,4,1000,8000,174743,21,-660
add-none,4,10000,80000,1342032,16,-2821
add-none,4,100000,800000,10081546,12,-21183
add-none,8,10,160,310006,1937,0
add-none,8,20,320,253005,790,0
add-none,8,40,640,257845,402,0
add-none,8,80,1280,264846,206,0
add-none,8,100,1600,307573,192,52
add-none,8,1000,16000,310161,19,409
add-none,8,10000,160000,2473296,15,996
add-none,8,100000,1600000,23235745,14,-12442
add-none,12,10,240,441905,1841,0
add-none,12,20,480,431109,898,0
add-none,12,40,960,411509,428,0
add-none,12,80,1920,397852,207,0
add-none,12,100,2400,383069,159,0
add-none,12,1000,24000,464410,19,852
add-none,12,10000,240000,3519299,14,-897
add-none,12,100000,2400000,33571613,13,-23582
add-yield-none,2,10,40,137511,3437,6
add-yield-none,2,20,80,150375,1879,0
add-yield-none,2,40,160,143233,895,8
add-yield-none,2,80,320,267707,836,25
add-yield-none,2,100,400,304028,760,0
add-yield-none,2,1000,4000,1639106,409,6
add-yield-none,2,10000,40000,14764903,369,0
add-yield-none,2,100000,400000,141774760,354,59
add-yield-none,4,10,80,142466,1780,17
add-yield-none,4,20,160,205145,1282,6
add-yield-none,4,40,320,234980,734,33
add-yield-none,4,80,640,307994,481,47
add-yield-none,4,100,800,355949,444,95
add-yield-none,4,1000,8000,1701851,212,44
add-yield-none,4,10000,80000,15113471,188,-391
add-yield-none,4,100000,800000,151038612,188,-2354
add-yield-none,8,10,160,284797,1779,10
add-yield-none,8,20,320,316519,989,26
add-yield-none,8,40,640,362609,566,91
add-yield-none,8,80,1280,359356,280,129
add-yield-none,8,100,1600,421332,263,80
add-yield-none,8,1000,16000,2015538,125,152
add-yield-none,8,10000,160000,18126951,113,238
add-yield-none,8,100000,1600000,183868503,114,-586
add-yield-none,12,10,240,412391,1718,19
add-yield-none,12,20,480,412641,859,69
add-yield-none,12,40,960,437928,456,129
add-yield-none,12,80,1920,508398,264,56
add-yield-none,12,100,2400,535138,222,172
add-yield-none,12,1000,24000,2588995,107,157
add-yield-none,12,10000,240000,24034625,100,-99
add-yield-none,12,100000,2400000,244586426,101,-11971
add-none,2,100,400,101608,254,0
add-none,2,1000,4000,127194,31,0
add-none,2,10000,40000,621110,15,-2760
add-none,2,100000,400000,4551319,11,-10324
add-none,8,100,1600,285826,178,0
add-none,8,1000,16000,387572,24,232
add-none,8,10000,160000,2561905,16,2421
add-none,8,100000,1600000,23074550,14,-20146
add-yield-none,2,100,400,296014,740,0
add-yield-none,2,1000,4000,1675472,418,-18
add-yield-none,2,10000,40000,14406832,360,86
add-yield-none,2,100000,400000,135621809,339,-252
add-yield-none,8,100,1600,448634,280,26
add-yield-none,8,1000,16000,2053478,128,156
add-yield-none,8,10000,160000,17658152,110,93
add-yield-none,8,100000,1600000,176131889,110,145
add-none,1,100,200,106248,531,0
add-none,1,1000,2000,91134,45,0
add-none,1,10000,20000,319205,15,0
add-none,1,100000,200000,1670010,8,0
add-m,1,10000,20000,814622,40,0
add-c,1,10000,20000,502122,25,0
add-s,1,1000,2000,100247,50,0
add-m,2,10000,40000,3856961,96,0
add-c,2,10000,40000,2240077,56,0
add-s,2,1000,4000,260476,65,0
add-m,4,10000,80000,12456924,155,0
add-c,4,10000,80000,6558907,81,0
add-s,4,1000,8000,892809,111,0
add-m,8,10000,160000,24037128,150,0
add-c,8,10000,160000,16599937,103,0
add-s,8,1000,16000,4962974,310,0
add-m,12,10000,240000,35369852,147,0
add-c,12,10000,240000,27296376,113,0
add-s,12,1000,24000,10239355,426,0
add-yield-m,2,10000,40000,46201352,1155,0
add-yield-c,2,10000,40000,27391676,684,0
add-yield-s,2,1000,4000,2917533,729,0
add-yield-m,4,10000,80000,104801908,1310,0
add-yield-c,4,10000,80000,57224873,715,0
add-yield-s,4,1000,8000,10209895,1276,0
add-yield-m,8,10000,160000,237495839,1484,0
add-yield-c,8,10000,160000,138111699,863,0
add-yield-s,8,1000,16000,26541221,1658,0
add-yield-m,12,10000,240000,370301113,1542,0
add-yield-c,12,10000,240000,267306346,1113,0
add-yield-s,12,1000,24000,37203319,1550,0
add-none,1,10000,20000,285681,14,0
add-m,1,10000,20000,778676,38,0
add-c,1,10000,20000,539857,26,0
add-s,1,10000,20000,387051,19,0
add-none,2,10000,40000,601195,15,-514
add-m,2,10000,40000,3843535,96,0
add-c,2,10000,40000,1741805,43,0
add-s,2,10000,40000,2830943,70,0
add-none,4,10000,80000,1256605,15,-2701
add-m,4,10000,80000,13596674,169,0
add-c,4,10000,80000,6597864,82,0
add-s,4,10000,80000,13270558,165,0
add-none,8,10000,160000,2254293,14,-1322
add-m,8,10000,160000,24140694,150,0
add-c,8,10000,160000,17972232,112,0
add-s,8,10000,160000,49769842,311,0
add-none,12,10000,240000,3676376,15,-3848
add-m,12,10000,240000,34784454,144,0
add-c,12,10000,240000,25745101,107,0
add-s,12,10000,240000,107334717,447,0
